directorio,SECUENCIA_ENCUESTA,SECUENCIA_P,P3,P4005,P4015,P8520S3,P8520S5
7788235,1,1,1,1,4,2,1
7788236,1,1,1,1,4,2,1
7788237,1,1,3,1,6,2,2
7788239,1,1,1,1,4,1,1
7788240,1,1,1,1,4,1,1
7788241,1,1,2,5,6,2,1
7788242,1,1,2,1,6,1,1
7788243,1,1,1,1,4,1,1
7788244,1,1,1,1,4,1,1
7788245,1,1,1,1,6,1,1
7788246,1,1,1,1,4,2,1
7788247,1,1,2,1,4,1,1
7788248,1,1,1,1,6,1,1
7788249,1,1,1,3,7,1,1
7788250,1,1,1,1,6,1,1
7788251,1,1,1,1,6,1,1
7788252,1,1,1,1,4,1,1
7788254,1,1,1,1,6,1,1
7788255,1,1,1,1,4,1,1
7788256,1,1,3,5,7,2,2
7788257,1,1,1,1,4,1,1
7788258,1,1,1,1,6,2,2
7788259,1,1,3,5,4,2,2
7788261,1,1,3,1,6,2,2
7788262,1,1,1,1,4,1,1
7788263,1,1,3,5,4,2,2
7788264,1,1,1,5,7,2,2
7788265,1,1,2,1,6,1,1
7788267,1,1,1,1,6,1,1
7788268,1,1,3,1,6,2,1
7788269,1,1,1,1,4,1,1
7788273,1,1,1,5,6,1,1
7788275,1,1,3,5,5,2,2
7788277,1,1,1,1,4,1,1
7788278,1,1,3,2,6,2,1
7788279,1,1,1,1,6,2,1
7788283,1,1,1,1,4,1,1
7788286,1,1,2,5,7,2,1
7788287,1,1,1,1,6,2,1
7788288,1,1,1,1,4,1,1
7788289,1,1,2,1,4,1,1
7788290,1,1,3,2,6,2,1
7788291,1,1,1,1,4,1,1
7788292,1,1,1,1,4,1,1
7788293,1,1,1,1,4,1,1
7788295,1,1,1,1,6,2,2
7788296,1,1,1,1,4,1,1
7788297,1,1,1,1,4,1,1
7788299,1,1,3,1,4,2,2
7788303,1,1,1,1,4,2,1
7788304,1,1,1,1,4,1,1
7788305,1,1,1,1,4,1,1
7788306,1,1,2,1,4,1,1
7788307,1,1,1,1,4,1,1
7788308,1,1,1,1,4,1,1
7788309,1,1,1,1,4,1,1
7788310,1,1,1,1,4,1,1
7788311,1,1,1,1,6,1,1
7788312,1,1,1,1,4,1,1
7788315,1,1,1,1,4,1,1
7788316,1,1,1,1,4,1,1
7788317,1,1,3,2,6,2,1
7788318,1,1,2,5,7,2,1
7788319,1,1,1,1,4,1,1
7788320,1,1,1,1,4,1,1
7788324,1,1,1,1,6,1,1
7788325,1,1,1,1,6,2,1
7788326,1,1,1,1,4,1,1
7788328,1,1,1,1,6,1,1
7788329,1,1,2,1,6,1,1
7788331,1,1,1,1,6,1,1
7788333,1,1,1,1,4,1,1
7788335,1,1,3,5,4,2,2
7788337,1,1,1,1,4,1,1
7788338,1,1,1,1,4,1,1
7788339,1,1,3,5,7,2,2
7788340,1,1,1,1,4,1,1
7788341,1,1,1,1,4,1,1
7788342,1,1,3,1,6,2,2
7788343,1,1,3,2,6,2,1
7788345,1,1,3,1,6,2,1
7788347,1,1,3,1,7,2,2
7788349,1,1,3,1,4,2,1
7788352,1,1,3,2,6,2,1
7788354,1,1,1,1,4,1,1
7788355,1,1,1,1,4,2,1
7788357,1,1,1,1,4,1,1
7788358,1,1,1,1,4,1,1
7788359,1,1,1,1,6,2,2
7788360,1,1,1,1,4,2,2
7788361,1,1,1,1,4,1,1
7788362,1,1,1,1,4,1,1
7788364,1,1,1,1,4,1,1
7788365,1,1,1,1,4,1,1
7788368,1,1,1,1,4,1,1
7788369,1,1,3,5,5,2,2
7788370,1,1,1,1,6,1,1
7788371,1,1,3,5,5,2,2
7788373,1,1,1,1,6,1,1
7788374,1,1,1,1,4,2,1
7788375,1,1,1,1,4,1,1
7788376,1,1,1,1,4,1,1
7788377,1,1,1,1,4,1,1
7788378,1,1,1,1,4,1,1
7788380,1,1,1,1,6,1,1
7788381,1,1,1,1,4,1,1
7788383,1,1,3,2,6,2,1
7788385,1,1,1,1,6,1,1
7788387,1,1,1,1,4,1,1
7788388,1,1,3,1,6,2,2
7788390,1,1,2,5,5,2,2
7788392,1,1,1,1,4,1,1
7788395,1,1,1,1,4,1,1
7788396,1,1,3,1,6,2,1
7788397,1,1,1,1,4,1,1
7788398,1,1,1,1,4,1,1
7788399,1,1,1,5,7,1,1
7788401,1,1,3,5,5,2,2
7788402,1,1,1,1,4,2,1
7788403,1,1,2,1,6,1,1
7788406,1,1,1,1,6,1,1
7788408,1,1,1,1,6,1,1
7788411,1,1,1,1,4,1,1
7788413,1,1,1,1,4,1,1
7788414,1,1,1,1,4,1,1
7788417,1,1,3,5,5,2,2
7788418,1,1,3,5,5,2,2
7788419,1,1,1,1,4,1,1
7788420,1,1,1,1,4,1,1
7788421,1,1,1,5,6,1,1
7788422,1,1,1,1,4,1,1
7788423,1,1,1,1,4,1,1
7788424,1,1,1,1,4,1,1
7788426,1,1,3,2,6,2,1
7788427,1,1,1,1,3,1,1
7788428,1,1,1,1,4,1,1
7788429,1,1,1,1,4,1,1
7788431,1,1,1,1,4,1,1
7788432,1,1,2,1,4,1,1
7788433,1,1,1,5,6,2,2
7788434,1,1,2,1,6,1,1
7788435,1,1,1,1,4,1,1
7788436,1,1,1,1,4,1,1
7788439,1,1,2,1,4,1,1
7788441,1,1,2,1,4,1,1
7788442,1,1,3,5,5,2,2
7788443,1,1,3,5,5,2,2
7788444,1,1,1,1,4,1,1
7788445,1,1,1,5,5,1,1
7788446,1,1,1,1,6,2,1
7788447,1,1,3,5,5,2,2
7788449,1,1,1,1,6,1,1
7788451,1,1,1,1,4,1,1
7788452,1,1,3,5,5,2,2
7788453,1,1,1,1,6,1,1
7788455,1,1,2,1,6,1,1
7788456,1,1,3,5,5,2,2
7788457,1,1,1,1,6,1,1
7788459,1,1,1,1,4,1,1
7788460,1,1,1,1,6,1,1
7788461,1,1,1,1,4,1,1
7788462,1,1,1,1,6,1,1
7788463,1,1,1,5,6,1,1
7788464,1,1,1,1,4,1,1
7788468,1,1,1,1,4,1,1
7788470,1,1,3,5,5,2,2
7788471,1,1,1,1,4,1,1
7788472,1,1,3,5,5,2,2
7788473,1,1,1,1,4,1,1
7788476,1,1,3,1,4,1,1
7788477,1,1,1,1,4,1,2
7788479,1,1,3,1,4,1,1
7788480,1,1,1,1,4,1,2
7788481,1,1,1,1,4,1,1
7788482,1,1,1,1,4,1,1
7788483,1,1,1,1,4,2,2
7788484,1,1,1,1,4,1,1
7788485,1,1,1,1,6,1,1
7788486,1,1,1,1,4,2,2
7788487,1,1,1,1,6,1,1
7788488,1,1,1,1,4,1,1
7788490,1,1,1,1,4,1,2
