DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;P3;P4005;P4015;P8520S3;P8520S5
7000289;1;1;1;1;6;1;1
7000290;1;1;1;1;4;1;1
7000291;1;1;1;1;4;1;1
7000292;1;1;1;1;4;1;1
7000293;1;1;1;1;4;1;1
7000294;1;1;1;1;4;1;1
7000295;1;1;1;1;4;1;1
7000296;1;1;1;1;4;1;1
7000297;1;1;1;1;4;1;1
7000298;1;1;1;1;4;1;1
7000299;1;1;1;1;4;1;1
7000300;1;1;1;1;4;1;1
7000301;1;1;1;1;4;1;1
7000302;1;1;1;1;4;1;1
7000303;1;1;1;1;4;1;1
7000304;1;1;1;1;4;1;1
7000305;1;1;1;1;4;1;1
7000306;1;1;1;1;4;1;1
7000307;1;1;1;1;6;1;1
7000308;1;1;1;1;4;1;1
7000309;1;1;1;1;4;1;1
7000310;1;1;1;1;4;1;1
7000311;1;1;1;1;4;1;1
7000312;1;1;1;1;4;1;1
7000313;1;1;1;1;4;1;1
7000314;1;1;1;1;4;1;1
7000316;1;1;1;1;4;1;1
7000317;1;1;1;1;4;1;1
7000318;1;1;1;1;4;1;1
7000319;1;1;1;1;4;1;1
7000320;1;1;1;1;4;1;1
7000321;1;1;1;1;4;1;1
7000322;1;1;1;1;4;1;1
7000323;1;1;1;1;4;1;1
7000324;1;1;1;1;4;1;1
7000325;1;1;1;1;4;1;1
7000326;1;1;1;1;4;1;1
7000327;1;1;1;1;4;1;1
7000328;1;1;1;1;4;1;1
7000329;1;1;1;1;4;1;1
7000330;1;1;1;1;4;1;1
7000331;1;1;1;1;4;1;1
7000332;1;1;1;1;4;1;1
7000333;1;1;1;1;4;1;1
7000334;1;1;1;1;4;1;1
7000335;1;1;1;1;4;1;1
7000336;1;1;1;1;4;1;1
7000337;1;1;1;1;4;1;1
7000338;1;1;1;1;4;1;1
7000340;1;1;1;1;4;1;1
7000341;1;1;1;1;6;1;1
7000342;1;1;1;1;4;1;1
7000343;1;1;1;1;4;1;1
7000344;1;1;1;1;4;1;1
7000345;1;1;1;1;4;1;1
7000346;1;1;2;1;4;2;1
7000347;1;1;2;1;4;2;1
7000348;1;1;1;1;4;1;1
7000350;1;1;3;1;6;1;2
7000353;1;1;1;1;4;1;1
7000354;1;1;1;1;4;1;1
7000355;1;1;1;1;4;1;1
7000356;1;1;1;1;4;1;1
7000357;1;1;3;1;4;1;2
7000358;1;1;2;1;4;2;1
7000360;1;1;1;1;4;1;2
7000362;1;1;1;1;4;1;2
7000365;1;1;1;1;4;1;2
7000367;1;1;1;1;6;1;2
7000369;1;1;1;1;4;1;2
7000370;1;1;1;1;4;1;1
7000371;1;1;1;1;6;1;1
7000372;1;1;1;1;4;1;1
7000373;1;1;1;1;4;1;1
7000374;1;1;1;1;4;1;1
7000375;1;1;1;1;4;1;1
7000376;1;1;1;1;4;1;1
7000378;1;1;1;1;4;1;1
7000380;1;1;1;1;4;1;1
7000382;1;1;1;1;4;1;1
7000383;1;1;1;1;4;1;1
7000384;1;1;1;1;4;1;1
7000385;1;1;1;1;6;1;1
7000386;1;1;1;1;6;1;1
7000387;1;1;1;1;4;1;1
7000388;1;1;1;1;6;1;1
