DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;P3;P4005;P4015;P8520S3;P8520S5
7248043;1;1;1;1;6;1;1
7248044;1;1;1;1;4;1;1
7248046;1;1;1;1;4;1;1
7248048;1;1;1;1;4;1;1
7248049;1;1;1;1;6;1;1
7248050;1;1;1;1;4;1;1
7248055;1;1;1;1;6;1;1
7248056;1;1;1;1;4;1;1
7248058;1;1;1;1;4;1;1
7248063;1;1;1;1;6;1;1
7248064;1;1;1;1;6;1;1
7248065;1;1;1;1;6;1;1
7248066;1;1;1;1;6;1;1
7248067;1;1;1;1;6;1;1
7248068;1;1;1;1;7;1;1
7248069;1;1;1;1;6;2;1
7248071;1;1;1;1;6;1;1
7248072;1;1;1;1;6;1;1
7248073;1;1;1;1;6;1;1
7248074;1;1;1;1;6;1;1
7248075;1;1;1;1;6;1;1
7248077;1;1;1;1;6;1;1
7248080;1;1;1;1;6;1;1
7248082;1;1;1;1;6;1;1
7248083;1;1;1;1;6;1;1
7248084;1;1;1;1;5;1;1
7248085;1;1;1;1;6;1;1
7248086;1;1;1;1;4;1;1
7248087;1;1;1;1;6;1;1
7248088;1;1;1;1;6;1;1
7248090;1;1;1;1;6;2;1
7248092;1;1;1;1;4;1;1
7248094;1;1;1;1;4;1;1
7248095;1;1;1;1;4;1;1
7248096;1;1;1;1;6;1;1
7248097;1;1;1;1;6;1;1
7248098;1;1;1;1;6;1;1
7248101;1;1;1;1;4;1;1
7248103;1;1;1;1;6;1;1
7248105;1;1;1;1;6;1;1
7248107;1;1;1;1;6;1;1
7248108;1;1;1;1;6;1;1
7248110;1;1;1;1;6;2;1
7248111;1;1;1;1;7;1;1
7248112;1;1;1;1;4;2;1
7248114;1;1;1;1;7;2;1
7248115;1;1;1;1;6;1;1
7248116;1;1;1;1;4;1;1
7248117;1;1;1;1;4;1;1
7248120;1;1;1;1;6;1;1
7248121;1;1;1;1;4;1;1
7248122;1;1;1;1;6;1;1
7248123;1;1;1;1;6;1;1
7248124;1;1;1;1;6;1;1
7248125;1;1;1;1;4;1;1
7248126;1;1;1;1;4;1;1
7248127;1;1;1;1;4;1;1
7248128;1;1;1;1;4;1;1
7248129;1;1;1;1;6;1;1
7248130;1;1;1;1;4;1;1
7248131;1;1;1;1;4;1;1
7248132;1;1;1;1;2;1;1
7248134;1;1;1;1;2;1;1
7248135;1;1;1;1;4;1;1
7248137;1;1;1;1;2;1;1
7248138;1;1;1;1;4;1;1
7248139;1;1;1;1;2;1;1
