DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,P3,P4005,P4015,P8520S3,P8520S5
7567276,1,1,1,1,4,1,1
7567278,1,1,2,1,6,1,1
7567281,1,1,2,3,6,1,1
7567282,1,1,2,5,7,1,1
7567283,1,1,2,1,6,1,1
7567284,1,1,2,1,6,1,1
7567285,1,1,2,1,6,1,1
7567286,1,1,2,1,6,1,1
7567287,1,1,2,1,6,1,1
7567288,1,1,2,1,6,1,1
7567289,1,1,2,1,4,1,1
7567290,1,1,2,1,6,1,1
7567291,1,1,2,1,4,1,1
7567292,1,1,2,1,4,1,1
7567294,1,1,2,1,4,1,1
7567295,1,1,2,1,6,1,1
7567296,1,1,2,1,4,1,1
7567297,1,1,2,1,6,1,1
7567299,1,1,2,1,4,1,1
7567300,1,1,1,1,4,1,1
7567303,1,1,1,1,6,1,1
7567305,1,1,1,1,6,1,1
7567306,1,1,1,1,4,1,1
7567307,1,1,1,1,6,1,1
7567308,1,1,1,1,4,1,1
7567309,1,1,1,1,6,1,1
7567310,1,1,1,1,4,1,1
7567311,1,1,1,1,4,1,1
7567312,1,1,1,1,4,1,1
7567313,1,1,1,1,6,1,1
7567314,1,1,1,1,4,1,1
7567315,1,1,1,1,4,1,1
7567316,1,1,1,1,4,1,1
7567318,1,1,1,1,6,2,2
7567320,1,1,1,1,6,2,1
7567321,1,1,2,5,6,1,1
7567322,1,1,2,5,6,1,1
7567323,1,1,1,1,3,1,1
7567324,1,1,1,1,4,1,1
7567326,1,1,1,1,3,1,1
7567329,1,1,1,1,4,1,1
7567332,1,1,1,1,6,1,1
7567334,1,1,1,1,4,1,1
7567335,1,1,1,1,4,1,1
7567336,1,1,1,1,6,1,1
7567340,1,1,1,1,4,1,1
7567341,1,1,1,1,6,1,1
7567342,1,1,1,1,4,1,1
7567346,1,1,1,1,4,1,1
7567347,1,1,1,1,3,1,1
7567349,1,1,1,1,6,1,1
7567350,1,1,1,9,6,1,1
7567351,1,1,1,1,6,1,1
7567356,1,1,1,1,6,1,1
7567364,1,1,1,1,4,1,1
7567373,1,1,1,1,6,1,1
7567374,1,1,1,1,6,1,1
7567375,1,1,1,1,4,1,1
7567377,1,1,1,1,4,1,1
7567379,1,1,1,1,4,1,1
7567380,1,1,1,1,6,1,1
7567381,1,1,1,1,6,1,1
7567382,1,1,1,1,4,1,1
7567383,1,1,1,1,4,1,1
7567384,1,1,1,1,4,1,1
7567385,1,1,1,1,6,1,1
7567386,1,1,1,5,6,1,1
7567387,1,1,1,1,6,1,1
7567389,1,1,1,5,6,1,1
7567390,1,1,1,1,4,1,1
7567391,1,1,1,5,7,1,1
7567392,1,1,1,1,4,1,1
7567393,1,1,1,1,6,1,1
7567396,1,1,1,1,4,1,1
7567397,1,1,1,1,6,1,1
7567398,1,1,1,1,6,1,1
7567399,1,1,1,1,4,1,1
7567405,1,1,1,1,6,1,1
7567406,1,1,1,1,4,1,1
7567407,1,1,1,1,4,1,1
7567410,1,1,1,1,4,1,1
7567411,1,1,1,1,6,1,1
7567412,1,1,1,1,4,1,1
7567414,1,1,1,1,6,1,1
7567415,1,1,1,1,6,1,1
7567417,1,1,1,1,6,1,1
7567418,1,1,1,1,6,1,1
7567419,1,1,1,1,4,1,1
7567420,1,1,1,1,4,1,1
7567422,1,1,1,9,6,1,1
7567423,1,1,1,1,4,1,1
7567425,1,1,1,1,6,1,1
7567426,1,1,1,1,4,1,1
7567427,1,1,1,1,4,1,1
7567428,1,1,1,1,6,1,1
7567429,1,1,1,1,4,1,1
7567430,1,1,1,1,6,1,1
7567431,1,1,1,1,4,1,1
7567433,1,1,1,1,6,1,1
7567436,1,1,1,1,6,1,1
7567439,1,1,1,1,4,1,1
7567440,1,1,1,1,4,1,1
7567441,1,1,1,1,4,1,1
7567442,1,1,1,1,4,1,1
7567443,1,1,1,1,4,1,1
7567444,1,1,1,1,4,1,1
7567445,1,1,1,1,6,2,1
7567446,1,1,1,1,6,1,1
7567447,1,1,1,1,4,1,1
7567448,1,1,1,1,4,1,1
7567449,1,1,1,1,4,1,1
7567450,1,1,1,1,4,1,1
7567451,1,1,1,1,4,1,1
7567453,1,1,1,1,4,1,1
7567455,1,1,1,1,4,1,1
7567456,1,1,1,1,6,1,1
7567457,1,1,1,1,4,1,1
7567459,1,1,1,1,6,1,1
7567460,1,1,1,1,4,1,1
7567462,1,1,1,1,6,1,1
7567463,1,1,1,1,4,1,1
7567465,1,1,1,1,4,1,1
7567466,1,1,1,1,4,1,1
7567468,1,1,1,1,6,1,1
7567469,1,1,1,1,1,1,1
7567471,1,1,1,1,6,1,1
7567472,1,1,1,1,4,1,1
7567474,1,1,1,1,6,1,1
7567475,1,1,1,1,4,1,1
7567476,1,1,1,1,6,1,1
7567477,1,1,1,1,4,1,1
7567478,1,1,1,1,4,1,1
7567479,1,1,1,1,4,1,1
7567480,1,1,1,1,4,1,1
7567481,1,1,1,1,6,1,1
7567483,1,1,1,1,4,1,1
7567484,1,1,1,1,6,1,1
7567485,1,1,1,1,4,1,1
7567486,1,1,1,1,4,1,1
7567487,1,1,1,1,4,1,1
7567488,1,1,1,1,4,1,1
7567490,1,1,1,1,1,1,1
7567491,1,1,1,1,4,1,1
7567492,1,1,1,1,6,1,1
7567493,1,1,1,1,6,1,1
7567494,1,1,1,1,6,1,1
7567495,1,1,1,1,6,1,1
7567496,1,1,1,1,6,1,1
7567497,1,1,1,1,6,1,1
7567498,1,1,1,1,4,1,1
7567499,1,1,1,1,4,1,1
7567500,1,1,1,1,6,1,1
7567501,1,1,1,1,6,1,1
7567506,1,1,3,1,4,2,2
7567507,1,1,3,5,5,2,2
7567508,1,1,3,5,5,2,2
7567509,1,1,3,5,5,2,2
7567510,1,1,1,1,6,1,1
7567511,1,1,1,1,4,1,1
7567512,1,1,1,1,6,1,1
7567514,1,1,1,1,4,1,1
7567515,1,1,1,1,6,1,1
7567516,1,1,1,1,6,1,1
7567517,1,1,1,1,4,1,1
7567518,1,1,1,1,6,1,1
7567519,1,1,1,1,6,1,1
7567520,1,1,3,1,6,2,1
7567521,1,1,3,1,6,2,1
7567522,1,1,3,1,4,2,1
7567523,1,1,3,1,6,2,1
7567524,1,1,3,1,4,2,1
7567525,1,1,3,1,6,2,1
7567526,1,1,3,1,4,2,1
7567527,1,1,3,1,6,2,1
7567530,1,1,3,1,4,2,1
7567531,1,1,3,1,6,2,1
7567532,1,1,3,1,6,2,2
7567533,1,1,3,1,6,2,2
7567534,1,1,3,5,7,2,2
7567535,1,1,3,1,6,2,2
7567536,1,1,3,5,6,2,2
7567537,1,1,3,1,6,2,2
7567539,1,1,3,1,5,2,2
7567540,1,1,3,1,6,2,2
7567541,1,1,3,1,6,2,2
7567542,1,1,2,1,6,1,1
7567543,1,1,2,1,6,1,1
7567544,1,1,2,1,6,1,1
7567545,1,1,2,1,6,1,1
7567546,1,1,2,5,6,1,1
7567547,1,1,2,1,6,1,1
7567548,1,1,2,1,6,1,1
7567549,1,1,2,1,6,1,1
7567550,1,1,2,1,6,1,1
7567551,1,1,2,1,6,1,1
7567553,1,1,2,1,6,1,1
7567554,1,1,2,1,4,1,1
7567555,1,1,3,1,4,2,2
7567556,1,1,3,1,6,2,2
7567557,1,1,3,1,6,2,2
7567558,1,1,3,1,6,2,2
7567559,1,1,3,5,7,2,2
7567560,1,1,1,1,6,1,1
7567561,1,1,1,1,6,1,1
7567562,1,1,1,1,6,1,1
7567563,1,1,1,1,6,1,1
7567564,1,1,1,1,4,1,1
7567565,1,1,1,1,6,1,1
